"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"대화동085",1,대전광역시 대덕구 대화6길 10,,36.36479673,127.41669650,,,042-120,대전광역시,2022-12-15
"대화동086",1,대전광역시 대덕구 대화6길 16,,36.36507420,127.41672480,,,042-120,대전광역시,2022-12-15
"대화동087",1,대전광역시 대덕구 대화10길 15,,36.36421368,127.41539930,,,042-120,대전광역시,2022-12-15
"대화동088",1,대전광역시 대덕구 늘봄1길 8,,36.36431365,127.41463930,,,042-120,대전광역시,2022-12-15
"대화동089",1,대전광역시 대덕구 대화4길 13,,36.36453421,127.41548290,,,042-120,대전광역시,2022-12-15
"대화동090",1,대전광역시 대덕구 대화4길 24,,36.36462558,127.41512230,,,042-120,대전광역시,2022-12-15
"대화동091",1,대전광역시 대덕구 대오길 53,,36.36463037,127.41478360,,,042-120,대전광역시,2022-12-15
"대화동092",1,대전광역시 대덕구 대오길 55,,36.36473513,127.41471730,,,042-120,대전광역시,2022-12-15
"대화동093",1,대전광역시 대덕구 대오길 86,,36.36517053,127.41493800,,,042-120,대전광역시,2022-12-15
"대화동095",1,대전광역시 대덕구 대화13길 42,,36.36538455,127.41558990,,,042-120,대전광역시,2022-12-15
"대화동096",1,대전광역시 대덕구 대화4길 3,,36.36490832,127.41570770,,,042-120,대전광역시,2022-12-15
"대화동097",1,대전광역시 대덕구 대화4길 8,,36.36488444,127.41531980,,,042-120,대전광역시,2022-12-15
"대화동098",1,대전광역시 대덕구 동심1길 41,,36.36281859,127.41542470,,,042-120,대전광역시,2022-12-15
"대화동099",1,대전광역시 대덕구 동심1길 59,,36.36302048,127.41437840,,,042-120,대전광역시,2022-12-15
"대화동100",1,대전광역시 대덕구 동심1길 53,,36.36284271,127.41470730,,,042-120,대전광역시,2022-12-15
"대화동101",1,대전광역시 대덕구 동심1길 57,,36.36314192,127.41470100,,,042-120,대전광역시,2022-12-15
"대화동102",1,대전광역시 대덕구 동심1길 74,,36.36344608,127.41430490,,,042-120,대전광역시,2022-12-15
"대화동103",1,대전광역시 대덕구 동심1길 80,,36.36349973,127.41414030,,,042-120,대전광역시,2022-12-15
"대화동104",1,대전광역시 대덕구 늘봄1길 15,,36.36409940,127.41405430,,,042-120,대전광역시,2022-12-15
"대화동105",1,대전광역시 대덕구 동심3길 1,,36.36386083,127.41424470,,,042-120,대전광역시,2022-12-15
"대화동106",1,대전광역시 대덕구 동심3길 9,,36.36402140,127.41471800,,,042-120,대전광역시,2022-12-15
"대화동108",1,대전광역시 대덕구 대화2길 29,,36.36514131,127.41401080,,,042-120,대전광역시,2022-12-15
"대화동109",1,대전광역시 대덕구 동심4길 17,,36.36435897,127.41404680,,,042-120,대전광역시,2022-12-15
"대화동110",1,대전광역시 대덕구 동심4길 21,,36.36456126,127.41392310,,,042-120,대전광역시,2022-12-15
"대화동111",1,대전광역시 대덕구 늘봄1길 16,,36.36470738,127.41440520,,,042-120,대전광역시,2022-12-15
"대화동112",1,대전광역시 대덕구 늘봄2길 8,,36.36459830,127.41467650,,,042-120,대전광역시,2022-12-15
"대화동113",1,대전광역시 대덕구 늘봄2길 14,,36.36491977,127.41448650,,,042-120,대전광역시,2022-12-15
"대화동114",1,대전광역시 대덕구 늘봄2길 21,,36.36507577,127.41419770,,,042-120,대전광역시,2022-12-15
"대화동115",1,대전광역시 대덕구 늘봄2길 20,,36.36525206,127.41429670,,,042-120,대전광역시,2022-12-15
"대화동117",1,대전광역시 대덕구 대화2길 23,,36.36546985,127.41386100,,,042-120,대전광역시,2022-12-15
"대화동119",1,대전광역시 대덕구 대오길 75,,36.36569257,127.41408510,,,042-120,대전광역시,2022-12-15
"대화동120",1,대전광역시 대덕구 대오길 77,,36.36583313,127.41409030,,,042-120,대전광역시,2022-12-15
"대화동122",1,대전광역시 대덕구 대오길 65,,36.36529855,127.41440390,,,042-120,대전광역시,2022-12-15
"대화동123",1,대전광역시 대덕구 대오길 59,,36.36496990,127.41458490,,,042-120,대전광역시,2022-12-15
"대화동124",1,대전광역시 대덕구 대화1길 29,,36.36559896,127.41566230,,,042-120,대전광역시,2022-12-15
"대화동125",1,대전광역시 대덕구 대화1길 38,,36.36537152,127.41518870,,,042-120,대전광역시,2022-12-15
"대화동126",1,대전광역시 대덕구 대화1길 34,,36.36559572,127.41498490,,,042-120,대전광역시,2022-12-15
"대화동127",1,대전광역시 대덕구 대화1길 36,,36.36549462,127.41503330,,,042-120,대전광역시,2022-12-15
"대화동128",1,대전광역시 대덕구 대화9길 1,,36.36605552,127.41544640,,,042-120,대전광역시,2022-12-15
"대화동129",1,대전광역시 대덕구 대화3길 2,,36.36601343,127.41511190,,,042-120,대전광역시,2022-12-15
"대화동131",1,대전광역시 대덕구 대화3길 7,,36.36566486,127.41479800,,,042-120,대전광역시,2022-12-15
"대화동132",1,대전광역시 대덕구 대화3길 9,,36.36565092,127.41465980,,,042-120,대전광역시,2022-12-15
"대화동133",1,대전광역시 대덕구 대화3길 11,,36.36570945,127.41441500,,,042-120,대전광역시,2022-12-15
"대화동134",1,대전광역시 대덕구 대화3길 20,,36.36598662,127.41452790,,,042-120,대전광역시,2022-12-15
